fadE	fadR	fadI	fabB	fabR	fabA	fadJ	uspA	fadB	arcA	fadD	fadA	fadL	puuD	ydeA	puuR	rpsJ	betB	betI	betT	betA	ybdN	rplB	rplV	ackA	hybD	hybB	uvrA	hybE	lldP	lldR	lldD	appA	appB	appY	appC	yccB	hyaD	hyaA	hyaB	iscR	hyaF	hyaE	hyaC	narP	narL	napC	napG	napF	napB	napD	modE	napA	napH	ccmC	ccmE	ccmH	ccmF	flhC	ccmA	ccmB	flhD	ccmG	ccmD	nrfC	nrfD	nrfF	nrfE	nrfG	nrfA	nrfB	mdh	glpC	glpB	glpA	fliF	flgE	hdfR	gltK	ygbK	flgI	flgC	ppdB	fliI	recC	gltI	fliL	ycgR	flgJ	hybC	flhA	flgF	fliR	fliG	flhE	ppdA	fliP	flgM	fliO	fliE	flgA	ygdB	fliT	gltJ	flgB	fliM	fliN	ppdC	hybG	hybO	flhB	fliK	gltL	fliD	flgG	fliJ	flgH	fliQ	hybA	fliH	yhjH	flgN	fliS	flgD	hybF	glpR	ydhX	ydhT	oppF	ydhU	cydC	fdnI	cydD	glpD	ydhY	hydN	oppC	lrhA	fdnG	yecR	oppB	moeB	oppD	moeA	oppA	fdnH	qseB	ydhV	ydhW	ytfE	hcp	yeaR	hcr	fnr	fdhF	ubiA	ubiC	focA	nuoN	nuoI	nuoJ	norV	nuoH	dmsC	nuoM	dmsA	nuoB	nuoK	nuoE	nuoL	nuoC	dmsB	nuoF	norW	nuoG	nuoA	ynfG	iraM	dcuS	rpmC	rplC	rpsQ	dmsD	rpsS	rplW	tpx	ynfH	rplD	dcuC	ynfF	ynfE	rpsC	puuA	rplP	narX	fumB	pflB	frdD	dcuR	frdA
0.3151990	0.7255159	0.0720709	0.3022595	0.6775844	0.4127043	0.1239561	0.2293620	0.1226624	0.5596489	0.1850108	0.0009257	0.2275716	0.1585955	0.1527458	0.0474145	0.4263261	0.2546339	0.0536161	0.2555758	0.6986078	0.7050020	0.6834274	0.2094054	0.2309925	0.0591161	0.0474091	0.0092475	0.1617230	0.3691056	0.2789405	0.2731991	0.6632635	0.7030291	0.7187789	0.6372053	0.5299989	0.1701859	0.3390060	0.4323019	0.6656998	0.7717232	0.4434774	0.4158923	0.6482439	0.5065661	0.3587294	0.4680949	0.1601960	0.1527883	0.2528304	0.4256843	0.0135352	0.6191621	0.5637234	0.2815403	0.4524515	0.8285802	0.2563703	0.7320642	0.6357489	0.6376061	0.5724297	0.5243549	0.6258449	0.2230314	0.5917149	0.4296375	0.4040254	0.6938215	0.5872859	0.1489219	0.5400486	0.0726610	0.2241625	0.5229572	0.5135136	0.3822349	0.7513628	0.3615015	0.7091241	0.2046195	0.2914533	0.4448086	0.6396665	0.7816451	0.3895681	0.5775936	0.6111123	0.4332103	0.4748753	0.3100328	0.0472692	0.5108981	0.1599538	0.2625857	0.5207618	0.6555228	0.1070017	0.0128899	0.3280541	0.0171000	0.2476428	0.4621116	0.4454304	0.4697689	0.1411309	0.5678777	0.0646581	0.1093332	0.3267133	0.6861561	0.5517759	0.2127109	0.2253581	0.1148900	0.5518708	0.0797523	0.0477310	0.1263899	0.6870129	0.1341891	0.6371005	0.1045123	0.0040680	0.6771722	0.3614110	0.7249778	0.2990794	0.3173725	0.3819561	0.0872944	0.7557871	0.2668757	0.3179787	0.3268936	0.2295005	0.7730411	0.2689445	0.6791399	0.0248314	0.8068104	0.0632740	0.3138202	0.4535715	0.7619022	0.7753572	0.1173149	0.0582061	0.3062291	0.4162300	0.7656337	0.6647176	0.3710515	0.4379598	0.0027364	0.0022472	0.5276177	0.2080812	0.4256799	0.4388213	0.3449627	0.3930898	0.3268584	0.6577006	0.0606932	0.6918820	0.4141418	0.3478217	0.2218536	0.1118296	0.3152312	0.3513423	0.4008772	0.3097677	0.6586310	0.0149121	0.7357598	0.1228510	0.0175442	0.0955405	0.3335941	0.7413777	0.1047982	0.2997865	0.1700662	0.1507302	0.3400385	0.4996519	0.1429793	0.0996860	0.3636943	0.4267817	0.5097716	0.6374569	0.3394781	0.7198917	0.2392712	0.0590825	0.2949885
0.2415581	0.5623306	0.0641600	0.1665785	0.5005644	0.2811152	0.0721201	0.2848543	0.1217536	0.5235710	0.2102336	0.0125875	0.0874161	0.0006494	0.0725496	0.0077939	0.0484160	0.4710780	0.0476890	0.3916915	0.6121470	0.7276318	0.3831424	0.1504036	0.4262328	0.0646826	0.0538084	0.0333922	0.1220583	0.7296204	0.1756178	0.2494393	0.6680551	0.5309189	0.6081472	0.5956266	0.5496105	0.2076129	0.1342114	0.7258610	0.6377838	0.2376741	0.3221319	0.0071949	0.5731796	0.7042256	0.4546715	0.2971264	0.1083387	0.2718867	0.2800422	0.6753949	0.0031391	0.1018985	0.6050811	0.0514371	0.4489454	0.6827221	0.3893839	0.7431648	0.6890890	0.4415234	0.5308885	0.4575564	0.7086750	0.5724808	0.6634839	0.2848966	0.2104308	0.5689865	0.4119738	0.2664031	0.0212242	0.1216570	0.2937518	0.5273062	0.3461710	0.6756413	0.5196458	0.5805794	0.4257620	0.4343516	0.6861146	0.4995410	0.6441850	0.7157388	0.0209051	0.6397329	0.6079569	0.2689679	0.4444972	0.3139093	0.0283360	0.2683121	0.1746709	0.4122945	0.4890417	0.5748106	0.2209186	0.0605107	0.4003637	0.2357522	0.1714678	0.5079887	0.2771206	0.0523143	0.1954839	0.6364963	0.0535495	0.1059791	0.3438978	0.6618877	0.3966994	0.2414179	0.4270158	0.2695714	0.7114653	0.1815328	0.0618126	0.2734832	0.4964341	0.1114801	0.6385789	0.1628372	0.0117430	0.8343140	0.2300581	0.7143923	0.1716312	0.2057055	0.1935139	0.4074680	0.5903851	0.1646221	0.0935273	0.1474001	0.0460533	0.7992604	0.0714776	0.7293185	0.0039092	0.7067814	0.0423929	0.3143561	0.3573376	0.6942752	0.2697588	0.2750103	0.2191739	0.0728537	0.7202022	0.5206881	0.3116256	0.2904654	0.3275687	0.0023470	0.0000040	0.5507773	0.3191905	0.3716202	0.2713130	0.3900394	0.4599671	0.2073950	0.6661026	0.0042480	0.7079717	0.5270681	0.1921206	0.3697338	0.0510663	0.1748244	0.5531133	0.2018875	0.3893109	0.5167046	0.2219944	0.5492914	0.1643386	0.2114385	0.0762531	0.2679206	0.2924261	0.2496584	0.1212238	0.1456685	0.0492774	0.4883466	0.3722094	0.1696294	0.0628807	0.1612005	0.6582699	0.2071398	0.5147272	0.0377530	0.6287392	0.3220846	0.1894506	0.1259402
0.1271601	0.6341788	0.0800745	0.0365502	0.7612325	0.3725038	0.1394115	0.2505017	0.0725617	0.5385150	0.2471535	0.0178208	0.1656098	0.0478786	0.0000820	0.0679485	0.1549231	0.4093359	0.0704756	0.2991180	0.6642674	0.5146630	0.5115425	0.0121931	0.1492668	0.0002134	0.0685212	0.0143179	0.1100830	0.6838824	0.2835759	0.2110494	0.5721498	0.6661826	0.6281938	0.7172979	0.5194484	0.4605087	0.2648480	0.3441386	0.7770277	0.5216966	0.2293920	0.1143249	0.6958573	0.5230974	0.1745961	0.6361599	0.0062973	0.1717304	0.4600025	0.7702885	0.2020561	0.1996683	0.7174672	0.0738614	0.5050865	0.6337756	0.2452687	0.6396322	0.5891429	0.6623729	0.7032132	0.5107231	0.6237729	0.3180493	0.7233530	0.4589143	0.6531186	0.6032956	0.6570145	0.2188829	0.2774490	0.1212928	0.2880572	0.8468053	0.4146500	0.5107640	0.4831717	0.4984936	0.6539705	0.1325880	0.4487114	0.5025929	0.6400148	0.6590437	0.0058184	0.6704201	0.7059243	0.3802432	0.4239030	0.2482769	0.1093725	0.4492525	0.5573386	0.3075126	0.6680274	0.4411675	0.1759889	0.1124461	0.3526478	0.0796996	0.5654713	0.6093791	0.2946264	0.0277938	0.1470485	0.6668336	0.0588796	0.1696409	0.3104614	0.4769954	0.5676976	0.2026614	0.6157096	0.2998022	0.6588419	0.2225288	0.0031780	0.0541257	0.4615546	0.1726984	0.6295178	0.1097271	0.0187675	0.7377439	0.4379205	0.7315805	0.2120991	0.1566138	0.5556221	0.0937299	0.7798164	0.2394491	0.0823727	0.3774223	0.2446926	0.6020027	0.5839839	0.7022253	0.0008372	0.7177195	0.0178638	0.6020916	0.3974260	0.5431415	0.7920626	0.0264183	0.1554268	0.2836990	0.5618903	0.6691105	0.3216917	0.3657661	0.4780239	0.0005563	0.0419332	0.5484272	0.4065634	0.4715158	0.5789160	0.1586027	0.4872408	0.3560516	0.6316346	0.0013271	0.5322762	0.5339508	0.5220362	0.4224364	0.0283609	0.3638086	0.6110726	0.1900824	0.2371034	0.4899965	0.0971447	0.6772530	0.5115851	0.4580357	0.1430096	0.2049155	0.3542963	0.3292025	0.1864280	0.1764715	0.3111309	0.6101497	0.5351917	0.3469369	0.2231754	0.2164605	0.6474515	0.5806503	0.7590601	0.3581831	0.5348946	0.1157053	0.0280638	0.1386406
0.2415843	0.6335687	0.0991571	0.1412401	0.7570643	0.6044783	0.1765403	0.2691909	0.1733189	0.6012053	0.3283844	0.0051343	0.1847007	0.0018086	0.1820958	0.0901672	0.1439368	0.5430296	0.0331625	0.5619763	0.7488656	0.5850444	0.4822542	0.0900059	0.1502979	0.0800347	0.1294326	0.0224752	0.2111510	0.6598670	0.3871311	0.4743933	0.7151121	0.5829745	0.5194070	0.6331029	0.3249321	0.2255624	0.2327141	0.5723526	0.5289910	0.6816635	0.4394471	0.1067695	0.7014876	0.6109646	0.3894481	0.3503665	0.2443861	0.3572620	0.2473064	0.5356651	0.0105293	0.4320566	0.6045473	0.1169835	0.6545596	0.6284255	0.1695305	0.8127312	0.6008525	0.8068892	0.6055068	0.6465940	0.6791770	0.2000841	0.5128765	0.4699814	0.3736620	0.6740746	0.5109259	0.2798392	0.2894228	0.3192283	0.2795530	0.5243730	0.2464956	0.7877857	0.4767613	0.3652652	0.5057111	0.0119486	0.2130894	0.4297825	0.4952874	0.5300815	0.0005096	0.7155723	0.4307708	0.4309801	0.3724258	0.3327298	0.1656054	0.5031307	0.4854750	0.5642174	0.5711122	0.6034853	0.3981933	0.0003577	0.2598522	0.1324383	0.1696941	0.6009715	0.2381308	0.1924400	0.4825199	0.8747640	0.0692975	0.0160934	0.3411733	0.2945357	0.3098178	0.2297452	0.0975212	0.0057331	0.4672027	0.0704273	0.0618587	0.0068503	0.4226207	0.3774815	0.6524802	0.1032602	0.0087474	0.7166140	0.2892983	0.7408281	0.1731333	0.4456839	0.3158045	0.3011677	0.5573189	0.2820799	0.1576104	0.3862028	0.3320255	0.6966087	0.3514536	0.6573612	0.0545125	0.6777283	0.0335703	0.4538676	0.5217392	0.5553023	0.6703532	0.0408340	0.0348233	0.2668618	0.5509448	0.5665588	0.5514365	0.3667642	0.3680997	0.0008621	0.0024190	0.2407901	0.1643143	0.3250387	0.2502621	0.3465309	0.4507302	0.4591018	0.5428419	0.0809251	0.3803184	0.4965812	0.4699732	0.4924949	0.0001696	0.0767471	0.6223536	0.3434026	0.3812388	0.6791757	0.0668562	0.6271397	0.1417103	0.0839036	0.1725745	0.3485203	0.3468354	0.0733912	0.4884226	0.1749579	0.3276894	0.4179139	0.2908279	0.0405425	0.1020229	0.5075816	0.6989345	0.5183356	0.7178740	0.0372069	0.4403484	0.1062347	0.0069504	0.0998680
0.2524922	0.6440656	0.0947811	0.3357339	0.3658385	0.5246616	0.1166175	0.3228012	0.1796773	0.5260518	0.3177986	0.0004077	0.3202674	0.0005771	0.1674366	0.0726826	0.0977149	0.4728600	0.0544101	0.4793915	0.5433321	0.6852021	0.3154205	0.1380542	0.4571691	0.1031266	0.0689465	0.0325999	0.1435363	0.6730497	0.3445269	0.4092858	0.5783371	0.6026957	0.6836815	0.6298580	0.3733140	0.5071571	0.0783220	0.5830671	0.6452506	0.6927686	0.3919027	0.0706913	0.7319509	0.3949140	0.5002391	0.3838151	0.1502386	0.0876065	0.1977303	0.5842702	0.1849924	0.3790981	0.5990482	0.2070516	0.4942414	0.6557414	0.1325680	0.6017233	0.5820992	0.6727780	0.6756993	0.6238724	0.6749231	0.2656720	0.3882615	0.5183962	0.4222102	0.5441261	0.4917591	0.3140991	0.2295398	0.1385296	0.4874020	0.6458992	0.3907489	0.7031195	0.5930954	0.3153981	0.5711718	0.2677435	0.3448600	0.4148851	0.4833095	0.6115959	0.0121824	0.5794795	0.5256735	0.2875692	0.4621823	0.4096997	0.2674153	0.4192490	0.4808456	0.4047806	0.6024748	0.4387145	0.0770387	0.0967837	0.3187534	0.3917828	0.2763808	0.7158853	0.2706402	0.0062406	0.1845064	0.5565195	0.0670193	0.0448228	0.1244979	0.2838147	0.4587886	0.0555956	0.0698766	0.0132418	0.6879316	0.1940489	0.0346662	0.1167481	0.4882773	0.0088947	0.6380281	0.2012844	0.0087584	0.5828322	0.1206658	0.7694839	0.1322399	0.4462750	0.2887555	0.2033870	0.6370871	0.4206356	0.1108288	0.2805956	0.1281558	0.6098751	0.0834043	0.6730948	0.0331393	0.6716858	0.0294331	0.4680501	0.3730412	0.4934596	0.6865271	0.1761285	0.0551268	0.0959449	0.6342617	0.6442043	0.2943723	0.2994640	0.7261346	0.0029007	0.0049908	0.4254382	0.2191682	0.3697670	0.7810788	0.3427580	0.1680532	0.3851918	0.7642258	0.0836414	0.6972241	0.5206263	0.1341483	0.5233049	0.0171942	0.2322434	0.2305999	0.4524142	0.2724617	0.7944667	0.0851613	0.8643428	0.1013341	0.0394932	0.0771498	0.3657051	0.2659477	0.3710531	0.2567063	0.3058748	0.3946842	0.3414834	0.3183587	0.0499654	0.1934226	0.4961611	0.6291488	0.4759587	0.4592924	0.1483637	0.6491693	0.3573752	0.3109253	0.2264867
0.1438411	0.6622254	0.1103391	0.4387297	0.5568799	0.5312242	0.1717711	0.1660173	0.0389015	0.4322977	0.2270604	0.0020025	0.1334346	0.1042754	0.0531134	0.1174276	0.2029167	0.5719851	0.0992887	0.3146305	0.7011325	0.5215001	0.7909848	0.2193581	0.2369629	0.0143391	0.0393079	0.0159854	0.0263875	0.3397584	0.3711790	0.3989786	0.7350974	0.6829710	0.7863193	0.7209617	0.4908872	0.2890682	0.0787788	0.3764290	0.7382357	0.2232468	0.5900428	0.1780015	0.7604114	0.4697540	0.2295181	0.6057469	0.3765037	0.1070070	0.3260402	0.3701650	0.0199579	0.1756443	0.7271758	0.1995576	0.5525551	0.7184316	0.3477555	0.7318834	0.5106204	0.6922809	0.5714192	0.5607916	0.7530474	0.3503111	0.5395213	0.3178309	0.4352489	0.6458281	0.4526738	0.3345246	0.6420280	0.0878706	0.5685622	0.5926604	0.5909768	0.6965021	0.7096674	0.6574769	0.4876911	0.3724328	0.7018377	0.5526374	0.7206893	0.7578803	0.0852467	0.6124313	0.5347634	0.4781503	0.5712968	0.4150718	0.2061442	0.4181007	0.2267463	0.3751096	0.5406752	0.6375653	0.3041608	0.3446985	0.5282207	0.4007298	0.4859828	0.7681790	0.2896100	0.0789200	0.2351096	0.7173764	0.0704187	0.1241864	0.3827527	0.6008702	0.6961150	0.3670858	0.5919487	0.1120457	0.6153125	0.3214852	0.1072452	0.1856949	0.5556722	0.3702082	0.6882016	0.2429909	0.0060057	0.6750603	0.3343413	0.4712436	0.1827078	0.5680086	0.1945856	0.0497101	0.5477875	0.3087142	0.0740753	0.6092893	0.4315938	0.6212362	0.0175273	0.7399286	0.0727839	0.3974308	0.0824168	0.3878694	0.5182853	0.5466877	0.7175489	0.2198096	0.2092434	0.0005039	0.5498827	0.8115558	0.3176306	0.3232799	0.5270857	0.0143577	0.0081030	0.3208283	0.4414936	0.3981765	0.2504445	0.3167688	0.0695211	0.4889411	0.5957478	0.0012751	0.5703093	0.5446758	0.2717508	0.5291147	0.4524914	0.4659080	0.1918566	0.4589386	0.2104352	0.7005121	0.0275937	0.7520752	0.2117687	0.0063085	0.0611502	0.1949466	0.2909145	0.4636184	0.2183052	0.1608235	0.0328263	0.2623279	0.3639672	0.0659518	0.1799271	0.4353311	0.7306687	0.2095378	0.6589543	0.0424979	0.6355006	0.1702471	0.0531228	0.4570589
0.2033361	0.5971962	0.1433115	0.0057342	0.6623620	0.3694629	0.1599742	0.2946806	0.1550837	0.6273377	0.2462224	0.0001418	0.2486801	0.1225885	0.1776388	0.1159801	0.1392091	0.5088993	0.1009320	0.5265052	0.6268637	0.5873250	0.6210388	0.0519412	0.2277545	0.0252877	0.1467011	0.0735123	0.0873387	0.7117474	0.4328168	0.3752787	0.7440896	0.6997139	0.6511331	0.6692777	0.4526065	0.5244718	0.4601999	0.1333978	0.6777139	0.6621417	0.4715126	0.0457503	0.6932951	0.2648929	0.4927787	0.3659183	0.4707117	0.1192390	0.3149649	0.6767137	0.3683379	0.2173198	0.6851306	0.2211994	0.5747721	0.6184129	0.4917468	0.6289797	0.9020858	0.7037285	0.3843552	0.5264791	0.7426631	0.4811787	0.5834306	0.3284661	0.3090328	0.4450887	0.4806807	0.2253420	0.7181961	0.2233051	0.5497048	0.6377159	0.5434480	0.6479837	0.5744029	0.6155800	0.5696382	0.3318030	0.4251823	0.5776173	0.6616938	0.9154551	0.0220745	0.6080626	0.7364409	0.5072586	0.4715009	0.3657431	0.1842581	0.5003156	0.1758191	0.3750183	0.5567617	0.6214424	0.2569797	0.2143503	0.6498065	0.2167027	0.4128876	0.6855345	0.4221757	0.0445466	0.2625740	0.6623674	0.1189279	0.1300289	0.5147209	0.4413533	0.5972971	0.3422422	0.6020922	0.2792130	0.6153009	0.2989251	0.1709455	0.2520007	0.5006712	0.3737717	0.8639525	0.1838337	0.0108708	0.5095593	0.3785205	0.5197762	0.2328748	0.5143115	0.3415195	0.0196755	0.7434102	0.4095005	0.1269396	0.5683085	0.1992867	0.5743002	0.0710694	0.6923535	0.0049599	0.2768117	0.0207527	0.3395965	0.2045389	0.4071456	0.5961573	0.1623690	0.0904737	0.0000032	0.5844653	0.5857129	0.3627078	0.3550040	0.6714791	0.0069263	0.0083039	0.7549074	0.0613155	0.4588101	0.3568664	0.4899134	0.0445239	0.2948818	0.6841020	0.1595599	0.3414930	0.4290300	0.0710637	0.4181901	0.0000699	0.0947051	0.0689516	0.4969974	0.1119658	0.5280193	0.2891488	0.7404488	0.2869901	0.4143633	0.0699061	0.2157513	0.6439541	0.0287060	0.5240925	0.2353167	0.5521265	0.4722760	0.3015688	0.4689286	0.2667456	0.0999882	0.5840016	0.5089055	0.7916512	0.1549965	0.5713588	0.4762307	0.1268616	0.3319665
0.1880208	0.6724674	0.1011667	0.5385137	0.7971164	0.4451971	0.1504491	0.2824896	0.0190392	0.5288239	0.1124082	0.0061981	0.1652256	0.0688443	0.2100547	0.0618708	0.1490961	0.3766543	0.0636107	0.1576485	0.7564747	0.5542752	0.6624793	0.0836654	0.4336808	0.0109351	0.1021568	0.0333962	0.1512452	0.6884080	0.2525422	0.3118579	0.6312386	0.6770077	0.7777329	0.7663204	0.4127194	0.5530298	0.2559499	0.5029440	0.7124857	0.8332355	0.4065079	0.0595587	0.5152969	0.3379006	0.3268853	0.6240656	0.2144898	0.2541700	0.3803230	0.6211943	0.0021752	0.2361821	0.5872191	0.2152934	0.5338243	0.6027072	0.3766198	0.6170870	0.6880069	0.4087845	0.3750499	0.6689576	0.7489364	0.6364179	0.5074107	0.5115187	0.1839014	0.5131009	0.5180558	0.3545051	0.2446218	0.2474463	0.0954963	0.6304807	0.2717512	0.6033455	0.5077604	0.4608239	0.6651598	0.0788203	0.3822587	0.4780477	0.5865009	0.5982667	0.1877197	0.7104143	0.4903832	0.4009334	0.3458725	0.4597809	0.0518091	0.3405832	0.2524099	0.1325800	0.5641766	0.6630079	0.2524022	0.0102690	0.3541199	0.3131619	0.3774102	0.6410932	0.2834679	0.1809252	0.1181113	0.6989603	0.0901742	0.1515776	0.3736568	0.5461169	0.4007509	0.2129075	0.5939837	0.0310184	0.6168265	0.1335984	0.0625878	0.0819123	0.4465652	0.3322560	0.6464817	0.2648520	0.0094051	0.7474312	0.0633091	0.6838826	0.2165307	0.4068664	0.3966092	0.1537802	0.6290006	0.1984783	0.1272121	0.1586032	0.0282959	0.6609138	0.0240037	0.6766491	0.0028176	0.4593348	0.0411330	0.2590309	0.5250409	0.5418943	0.6738848	0.2355478	0.0414787	0.0001877	0.4353572	0.4651489	0.4275862	0.4223178	0.7234269	0.0001580	0.0111701	0.6942974	0.3467648	0.4671426	0.2227916	0.5184087	0.2006023	0.3164836	0.4501707	0.1554401	0.5445975	0.3874222	0.2391515	0.5138888	0.0764815	0.1220167	0.2694503	0.3217675	0.1011907	0.7749670	0.0932676	0.6182989	0.1454606	0.0290039	0.0900859	0.1010898	0.4326975	0.3337812	0.2999941	0.1430745	0.2334527	0.3470927	0.3881798	0.0243770	0.1111890	0.2425365	0.7050954	0.4327622	0.4904037	0.1248213	0.6956827	0.3485370	0.0628274	0.4555791
0.1660699	0.5737141	0.1292677	0.0033181	0.5515769	0.1293132	0.1464621	0.3131682	0.2184869	0.5215083	0.3460929	0.0010413	0.3038617	0.0022217	0.1219057	0.0840265	0.3564218	0.4373094	0.0320472	0.5126013	0.6769022	0.5121930	0.5465634	0.1986476	0.1053695	0.0152189	0.1447599	0.0603414	0.2187149	0.4335143	0.4023234	0.1427261	0.5866985	0.6654479	0.4160537	0.5568033	0.3133574	0.1818771	0.2771307	0.1309763	0.6941675	0.4708166	0.5358235	0.0791376	0.6785312	0.5077329	0.5638822	0.3505149	0.1092283	0.1706998	0.1358710	0.7091270	0.1294477	0.1866926	0.8731784	0.1119921	0.5811603	0.6356690	0.1126843	0.5886411	0.8508554	0.5911022	0.8443105	0.3635041	0.5786051	0.2396175	0.5331910	0.4264068	0.5387843	0.6374267	0.6869081	0.1605567	0.1535862	0.1650824	0.1383362	0.6024991	0.5739729	0.5527713	0.4451373	0.1798310	0.5505197	0.0374028	0.2357599	0.4007807	0.3317503	0.5149328	0.0000128	0.5329241	0.5930663	0.4472218	0.3142458	0.3878770	0.1259096	0.3756792	0.3429795	0.2452372	0.6139534	0.5283180	0.0464377	0.2198267	0.3362763	0.1402746	0.0924517	0.5562204	0.3107851	0.0001016	0.1577434	0.8018443	0.0760189	0.0003087	0.0589899	0.4363118	0.2772697	0.0572834	0.0404438	0.0046430	0.5166842	0.4391632	0.0922769	0.0058082	0.6017979	0.1834955	0.7159962	0.2016521	0.0159489	0.6228706	0.0805116	0.5974632	0.2530978	0.4190762	0.2155242	0.0465305	0.6750474	0.3484610	0.0339186	0.2109731	0.0657657	0.7199461	0.1227606	0.5904425	0.0080090	0.7040160	0.0368028	0.1815427	0.4510953	0.5158986	0.5871461	0.4181618	0.1630863	0.0033530	0.5364345	0.5116101	0.4473241	0.2761587	0.6350648	0.0118081	0.0071171	0.5770511	0.1980961	0.4208569	0.3836325	0.3995025	0.3840767	0.2580903	0.5700052	0.0359186	0.5704281	0.3628108	0.3730227	0.1106835	0.0592450	0.1534354	0.2008776	0.3148729	0.2364931	0.6613264	0.0206037	0.6807933	0.1249803	0.1405122	0.0773002	0.0763466	0.4963979	0.0811463	0.3025688	0.2356090	0.1130703	0.4635485	0.1915909	0.0533395	0.2474087	0.4663314	0.6200504	0.4928827	0.6528929	0.2678125	0.5874134	0.5899788	0.0003092	0.4621226
0.3947128	0.5528683	0.0901188	0.1186689	0.7695531	0.3075019	0.2049136	0.2347198	0.1853261	0.4753884	0.5182633	0.0024725	0.4786288	0.1294317	0.1373831	0.0820382	0.1703133	0.3605563	0.0957972	0.2771512	0.8207118	0.5192838	0.6496654	0.2077828	0.2957766	0.0626370	0.1302261	0.0198024	0.2051349	0.6021505	0.3527667	0.3926370	0.5722680	0.2454201	0.3189457	0.5772614	0.2708401	0.0667084	0.3628987	0.3318202	0.3968830	0.7209919	0.4825965	0.4898753	0.7922545	0.5079554	0.5733130	0.5489615	0.2211147	0.0014252	0.2862816	0.4417924	0.1089741	0.1955637	0.6276106	0.0824849	0.5671867	0.7394481	0.0738178	0.6971384	0.6170949	0.3794043	0.3360067	0.1729288	0.8196686	0.1566315	0.5171027	0.4527348	0.5278892	0.6304032	0.6890027	0.4748668	0.3384958	0.1059577	0.2158771	0.3603865	0.2954625	0.7253417	0.4738703	0.0564295	0.4481739	0.0363976	0.1090104	0.5163568	0.4124669	0.3941922	0.1899615	0.4126513	0.3682777	0.0990010	0.1236295	0.6986534	0.1539327	0.2468848	0.0526994	0.2774546	0.6868040	0.6289699	0.1237123	0.1866326	0.2163530	0.0000149	0.0302325	0.5871673	0.3046264	0.0002089	0.0299730	0.6479549	0.0913660	0.0943412	0.0135826	0.5454093	0.1390435	0.0150094	0.1083385	0.0710717	0.0541607	0.0003646	0.0472298	0.3556298	0.2831143	0.0488682	0.8044328	0.0298207	0.0115534	0.6647648	0.0651382	0.5144247	0.2728714	0.1392172	0.3984966	0.2121903	0.6894332	0.3217341	0.0189220	0.0061043	0.1443953	0.7136623	0.1843031	0.7023116	0.0819960	0.4884708	0.0899717	0.4701428	0.3567024	0.5603205	0.3286377	0.0529630	0.0434959	0.1827827	0.6478990	0.5433925	0.2749024	0.4422792	0.6850537	0.0054238	0.0051436	0.2550968	0.4087489	0.4234504	0.0927362	0.3643965	0.5329748	0.5543846	0.7009187	0.0155544	0.6018243	0.4993907	0.3502653	0.4472068	0.0655190	0.0853153	0.3850401	0.3834361	0.1016843	0.5881012	0.0590560	0.7433677	0.1308952	0.0385205	0.1292637	0.6230314	0.2484027	0.0484505	0.4196278	0.2344878	0.2502045	0.3614412	0.3010739	0.0851496	0.1348427	0.5259605	0.6736477	0.5366461	0.6879232	0.2274965	0.5201112	0.2779490	0.0037987	0.1997753
