Gene symbol	B cell	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD14	Monocytes CD16	DC	pDC	NK	Plasma
SELL	278.292166	261.883951	183.679125	238.803961	104.1906495	149.4595992	170.0790949	199.212161	94.23689485	31.90889428	135.4288695	378.3640568	329.1860614	79.46608504
SLC2A6	11.66259495	0.822737266	1.397268203	1.994574289	1.979220437	2.799853091	0.452012884	0.454401103	10.92309972	47.93411677	8.152022453	23.17515484	2.990985393	2.968603396
TEP1	0.390695353	0.126188727	0.228190571	0.224736345	0.187221058	0.422219147	0.327946293	0.029570882	0.448794022	0.681825762	0.236343811	1.595606238	0.687297977	0.274181597
RPS2	13795.16894	13704.47779	13309.30951	15123.02222	13748.17665	11355.78679	20009.66409	21259.51683	10239.59343	8290.622015	13045.0708	14283.61078	7678.434967	13874.22478
RPS28	9293.792566	11361.48791	10058.29116	12235.42854	10028.06296	7506.168089	11137.55385	10053.87318	6525.222592	5110.631029	6536.235666	9376.831076	5246.904361	7036.211974
EIF1	2284.557816	2561.228135	2712.677153	2288.092141	2652.339282	2773.726063	3328.06214	2393.878427	3408.849874	3382.686558	2643.564447	2959.744557	2973.05174	2584.247042
RPL13A	16826.70107	16281.92506	15114.21127	16289.89671	15794.29133	13518.87778	14657.32249	15826.58381	8221.560518	6988.725882	10084.30411	12120.31422	8429.007708	11619.5097
RPL29	9013.487312	7808.610791	7521.980301	7995.776439	6939.469467	5854.660918	9756.244146	10173.51805	7445.232114	4951.90928	7178.549428	6739.739132	5148.907351	6480.435687
RPS18	27565.37456	28119.53126	26781.26131	29988.19	27757.9031	22178.14721	24557.74276	26116.55518	15228.90908	11393.16021	20678.8747	22397.12079	14016.44181	26181.55041
RPL13	3670.061349	3851.50468	3440.915016	4157.827178	3546.317208	2670.543183	4489.417194	4782.322298	2157.829282	1515.472409	2279.889525	2722.090031	1826.664984	2420.438049
DUSP1	1213.527695	904.6877276	981.8490058	794.7215989	838.6160604	800.4206174	729.429754	293.614405	1350.130246	1433.545254	976.7217931	503.6980151	898.9892007	384.2341869
RPS8	11500.95323	10278.43466	9363.326085	10895.77847	9613.015982	8246.198636	10296.85107	11306.20477	5661.458025	4863.552502	6942.802074	11713.04494	6107.045133	9859.98823
RPL6	2930.670146	3166.449869	3260.987862	3145.25118	3296.598531	3060.730351	3674.289519	4057.414507	2651.391156	1955.553928	2832.564082	3894.003816	2544.117509	2546.215565
RPL15	1751.379975	1475.237066	1424.7113	1564.710979	1453.764324	1310.727959	1637.825038	1764.423462	1144.52589	977.8722461	1425.980868	1576.812992	1191.534381	1506.528347
RPL18	2805.109123	2624.04481	2392.931272	2811.721426	2279.216115	1862.382251	3462.109013	3618.985369	1533.530522	1303.557824	1942.960679	1986.694597	1582.948427	2355.868755
LYZ	309.8001123	190.6983216	453.9168745	242.1248463	180.7047239	265.1371742	6.498892962	8.943568892	18494.4424	2425.311338	13842.66705	690.5117409	302.0911983	265.1946445
RPL35	11249.49142	10724.55586	10330.86266	10615.27182	10039.94209	8702.419935	10233.2832	10176.5306	6645.388493	5859.472848	8496.167314	9115.416073	6508.661405	8799.649504
RPS7	6305.3267	5773.539059	5973.423977	5602.862925	5945.844597	5791.667359	6518.687092	6637.607773	4164.735216	3323.768011	5503.353185	6070.118114	4462.097245	5678.157228
DRAP1	294.5478881	252.8201238	352.6463988	270.5727942	324.2597571	459.9500064	372.3508295	360.0847379	359.0177866	1111.053399	467.1337857	510.6532701	740.3965761	487.7370594
NACA	904.0516449	973.7920674	888.1450041	998.4566821	844.1726998	800.1198227	917.628097	978.0735819	841.9579627	1355.660899	872.8865243	1286.491915	787.3826958	903.482175
EMP3	763.4216043	798.716835	1283.754655	601.6063146	1191.553282	1648.615956	1329.81334	1024.626403	1615.820206	2281.381329	1399.394129	708.4907832	1826.658171	1042.320539
GABARAP	204.0369204	158.4421853	194.7656478	166.0085287	205.2148164	201.8896041	157.7273436	120.7778442	982.6611755	719.4381362	771.8320147	556.9147748	238.9530927	203.0258631
HES4	2.428349542	5.417499992	4.670107809	2.497709309	1.442389947	2.617995074	1.950934435	0.337455245	19.20575349	368.791101	23.0090257	14.31957522	9.34455883	0
EEF1B2	2187.740001	2193.080126	1777.676168	2541.071034	1948.645226	1427.005998	1687.667605	2014.926992	925.9187234	899.527406	1456.757784	2015.675414	1294.878202	2155.179319
RGS2	94.61953697	52.69907089	77.28505003	41.21379382	89.20818701	98.3080827	53.68023332	37.44723356	554.9779417	606.3422241	397.2801695	390.7990166	118.2212724	194.7003939
CARD16	158.8608677	145.1424953	237.636794	123.5906532	163.246996	285.8165635	158.3063277	98.15390717	705.6666572	968.567375	484.8629273	72.19114315	575.0424622	103.7773503
ARPC3	1867.037395	785.6299757	1060.891773	791.5723623	995.6471676	1370.050857	1083.958522	934.1668412	2648.656511	3525.971274	2466.333848	2046.068668	1938.777613	1336.315964
CDKN1C	1.164371661	0.861705109	2.61396563	1.054301891	1.968530967	2.407831937	0.655087671	0.557754006	2.79902191	174.8604666	5.220051596	1.051856246	1.457318949	3.387633032
SRGN	101.6704864	234.0828131	426.5091309	200.6316936	341.9519324	979.9476741	430.4607494	281.8341076	1527.805621	1745.794544	1444.519893	1450.734258	2175.482982	1098.660254
BLOC1S1	177.7311115	96.38652703	129.5201581	85.17319723	128.451442	195.5616097	105.5141899	111.8934507	316.3979771	413.1769623	265.7804507	149.7059522	237.1876905	117.8783049
RPL31	2103.960754	2741.027087	2238.740459	2789.45052	2187.513279	1865.139137	2186.363476	2471.144343	1137.000247	959.9872872	1356.464988	1498.094111	1458.498955	1184.427664
JUN	408.0841612	510.8232533	587.3210019	492.3147862	704.2021212	470.6448914	540.5610282	331.4739298	246.9832123	125.2658475	252.8968379	282.3558897	366.0645255	557.9823777
IFI30	19.35759844	5.850991289	9.097958218	5.519770801	6.10649385	5.580741995	0	0	253.7096556	467.8943369	315.6779205	15.38986401	5.77220374	4.368575957
STXBP2	17.05072797	16.8339621	19.54894618	13.1857856	19.41202361	23.67012501	31.04337519	24.4877094	106.711852	256.8934931	48.38248797	43.18001048	35.8050101	28.66668971
ARPC5	169.0536339	180.7670772	197.7745476	160.6239759	195.4559173	267.3730947	159.7451862	207.9628312	280.7954992	457.8652334	338.6271385	286.9580082	381.8552473	179.9605382
HSBP1	34.22790141	18.79341316	26.73636239	17.46602983	18.76898233	33.29627829	22.66728413	22.26782764	108.9744577	247.1525772	87.10228069	63.02546218	57.20825956	32.30233751
CKB	2.036487073	0.371672591	1.236094494	0	2.449411525	1.826948344	0.394665349	1.070598233	1.859085221	184.1902926	5.062263541	1.42268805	1.420858736	0
RGS19	134.6583915	65.0362461	87.39227891	50.93606092	89.08258371	106.8352807	130.5770575	105.0426987	177.1477789	298.2888908	154.7512603	143.7309758	141.8596585	108.7548055
ARPC2	337.5037205	230.2661104	317.4807523	217.6399468	329.8195653	548.3697739	321.2740508	285.1279096	516.2150126	813.3284953	555.2237321	492.1026451	842.878033	356.621682
CTSL	0.782226649	9.107003454	8.719060738	1.604628242	1.299552236	1.822417818	1.776169462	2.150346038	17.67791175	182.6993838	15.83810047	0.966931011	1.871110736	0
RHOG	122.8184733	137.9764269	180.0366318	124.2370959	169.0329536	217.9510378	282.6689745	212.011278	441.5034671	621.7067865	470.3851351	137.2079383	327.3196247	54.77959328
GNG5	194.3269808	168.7333413	211.2595984	139.2996485	181.5381207	262.0083164	182.7374829	162.663547	487.6122673	633.6947538	457.9502039	414.5113943	394.2199706	295.1524642
FKBP1A	143.0117824	120.2126242	130.4756883	112.4004443	119.53413	130.3938119	132.0912345	115.5164832	419.2636975	634.7668008	372.005765	285.2561794	163.1800611	192.3510002
SPI1	57.40740485	5.526078317	9.374177153	5.062105513	7.525664742	6.688081524	0	0.748668442	296.2939408	548.0226908	301.603611	37.27616977	10.12052738	20.09359008
PTPN6	133.52342	39.73103131	44.71848386	39.92001044	63.13517582	78.14730458	53.40802116	49.96972959	75.00951692	240.4439596	100.5044316	59.51705458	112.9341249	110.8915125
C1orf85	4.593741322	5.598473911	6.527925181	4.004824992	5.853996024	8.640066526	17.42572723	12.51139664	16.41784615	13.89565293	12.45763344	10.63324782	15.19127932	9.925501649
COMMD4	17.82185091	14.19724466	15.48707943	10.74668129	15.17358695	31.00634343	24.10265115	18.42532504	23.35083551	19.47822342	19.36621953	43.58636369	46.67024874	23.23061392
CPA5	0	0.360357586	0.291722272	0.975578844	0.23525147	0.117762853	20.18988292	12.38057685	0	0	0	0	0	0
DDX21	19.92752357	18.27223448	19.38269574	16.77938655	17.16719219	17.70280492	10.72706647	11.1269259	18.37834678	21.7324541	21.24069628	22.80232683	15.6061203	18.68745483
ELAVL1	10.99997834	9.282495399	10.37197243	7.521996448	10.29013766	11.88505946	12.63936407	12.7141172	6.723956843	8.794454785	10.60272691	19.03529232	16.5019132	16.96086527
FANK1	0.06288733	0.023343092	1.150351333	0.056727361	0.088974063	0.115293312	6.36687346	1.058725009	0	0.030536979	0	0	0.049247359	0
GGNBP2	25.72467967	26.43672279	24.88862237	28.09583257	27.04099459	27.92881141	27.51384497	24.98153118	15.17661843	20.05818221	18.56861831	39.15518542	33.80237003	21.46667141
GRK6	39.83337571	38.83017573	35.95885954	32.01203767	36.86962323	47.71399631	66.69314019	65.44815994	23.27221015	53.80874295	14.15471245	30.74629409	46.52930124	53.48651799
GRN	40.44641184	13.9249127	21.40815038	11.37834633	14.8818264	23.769872	11.99641051	14.08572469	442.577153	160.5242035	440.3208718	444.992123	29.5800386	65.47901818
HSF1	25.46201915	21.04582088	22.79107249	19.59562812	26.81500271	23.88971893	36.91541234	34.65104549	15.17725619	26.32704778	24.47748081	16.98973781	28.43586862	27.68693846
IL32	64.57663132	960.6269424	1806.582142	786.1670587	1803.559036	2281.372545	2865.294809	1467.444949	41.51487368	53.88948192	59.35711482	71.71210045	1240.547632	51.30116376
MAP1LC3A	5.501755717	5.279094741	8.6390715	1.603247646	9.133821439	16.30401738	13.89901572	8.354893484	5.711934595	6.033351467	2.748147107	16.32742504	9.981280505	5.846681403
MCRS1	16.38025026	14.27067625	17.68780634	15.1236867	15.34584299	21.78308295	21.38675566	21.16498953	18.4895986	23.88441204	16.13059487	21.47250607	34.83582937	18.13392715
MRPS11	41.09560244	34.02780141	38.93914311	37.17371584	40.11092616	56.28929615	43.35413129	45.1747113	44.46410517	48.56697703	48.09145385	63.4307251	82.26222416	55.87470395
MYL6B	11.26636856	4.369996574	5.638894105	4.470834559	2.601291998	6.447343853	8.397367403	6.024309781	7.013121193	1.465358831	11.47026159	45.41975782	6.883916706	30.45581595
NCF4	63.94415359	4.078264775	17.1099719	4.117905811	6.451099724	4.924686114	49.50870583	15.62754211	73.16063465	28.22895402	39.14906487	63.34633485	3.205870817	54.94706901
NUDCD2	73.56087358	82.0656053	86.07103806	88.34666662	109.4985419	79.08499198	82.49097814	104.5839466	48.90113267	55.25465273	74.58665274	76.47009986	109.7461527	94.55129767
PPT1	29.22387304	40.2689884	37.92284117	34.40775608	35.36974337	26.08302228	35.86831141	45.4125932	87.92825913	116.032559	120.0923231	21.13304256	22.16094264	28.8173534
PSMB10	30.12974171	25.55369121	32.43108281	23.65571757	29.60764723	45.79565597	56.80074616	53.641662	40.37580086	48.66888334	44.83215919	54.35559992	89.04366461	42.8976739
PSMF1	25.19000624	20.01383116	25.36297875	22.34923912	21.67381913	26.45654817	22.50140518	22.36120837	20.22727387	27.82956461	26.56153406	23.59023744	30.08461849	34.06319531
RAB8A	37.75765908	22.94479892	28.82994433	18.41998444	30.13293492	36.80396237	24.34313471	22.24349779	38.81979293	85.9963324	42.34646653	47.25223041	67.63856293	34.89201528
RPL22L1	114.3038689	54.8423813	61.99497149	52.07665196	61.88461297	66.09143895	55.20262575	35.14677771	37.92165434	49.25253617	50.46143641	152.2882861	71.66853595	208.7336031
RPS3A	4373.764273	4984.451003	4062.031827	5380.156881	4377.543268	3503.135925	3699.521511	4979.348479	1765.97167	1733.965424	2439.017167	4986.354492	2981.962282	2552.919888
SIT1	92.60903214	98.14631028	139.6135825	78.60926498	133.6139735	151.8757179	204.2723724	182.6185256	4.206641464	4.726930972	9.908057098	220.137003	6.676672285	37.1880307
SLAMF1	6.266656184	4.598286108	10.24653224	2.550645617	5.529233096	5.290010625	10.88166375	7.975841453	0.594252955	1.344281037	1.674522498	2.104159384	1.062489879	7.543854774
SNRNP35	26.29301897	29.84642439	33.49887522	19.99066453	31.83198171	43.161622	43.54212756	35.19123908	34.09321213	42.1280303	33.33093311	46.29559176	91.83703986	41.51296787
TNFRSF4	3.395751494	8.672411989	83.84884634	1.248576737	7.287071884	3.213653789	79.84645441	44.32372777	1.685295573	1.046381251	2.738097757	3.821339251	25.21435892	1.899908835
TPGS2	4.692642203	4.045109577	4.81023554	3.959364806	5.06092549	8.723484005	9.266895943	8.894510062	5.348457803	5.754931433	4.143847478	7.836925579	7.238819755	2.998129508
TRIB2	7.165618035	7.550407337	8.85047099	3.22523649	3.002894742	5.172119299	14.05079958	8.154027729	1.189818394	2.423025982	2.732423579	1.981112846	9.656556501	10.42431131
