"TCGA-MP-A4TD-01",4
"TCGA-55-8506-01",2
"TCGA-49-6761-01",1
"TCGA-44-2665-01",1
"TCGA-86-7953-01",3
"TCGA-55-7570-01",2
"TCGA-4B-A93V-01",4
"TCGA-55-8511-01",3
"TCGA-78-7162-01",3
"TCGA-91-6836-01",1
"TCGA-55-7994-01",1
"TCGA-78-7220-01",4
"TCGA-MP-A4TI-01",1
"TCGA-44-A4SS-01",4
"TCGA-38-4629-01",1
"TCGA-86-8055-01",1
"TCGA-J2-A4AG-01",2
"TCGA-05-4427-01",2
"TCGA-44-2661-01",3
"TCGA-NJ-A55A-01",3
"TCGA-73-4659-01",3
"TCGA-55-7725-01",1
"TCGA-49-AAR0-01",3
"TCGA-O1-A52J-01",1
"TCGA-44-6774-01",1
"TCGA-78-8655-01",1
"TCGA-55-6968-01",1
"TCGA-97-8175-01",1
"TCGA-50-5931-01",2
"TCGA-55-A48X-01",3
"TCGA-49-AARN-01",3
"TCGA-55-8097-01",3
"TCGA-75-7031-01",4
"TCGA-50-6591-01",2
"TCGA-55-8091-01",3
"TCGA-67-3772-01",3
"TCGA-69-7980-01",3
"TCGA-55-8207-01",3
"TCGA-86-8279-01",1
"TCGA-50-7109-01",4
"TCGA-44-7661-01",1
"TCGA-05-5715-01",4
"TCGA-05-4418-01",4
"TCGA-44-7669-01",3
"TCGA-44-2657-01",3
"TCGA-97-A4M3-01",4
"TCGA-05-4420-01",4
"TCGA-95-7944-01",4
"TCGA-44-6148-01",3
"TCGA-49-4494-01",4
"TCGA-L9-A743-01",3
"TCGA-55-6969-01",2
"TCGA-05-4415-01",2
"TCGA-67-6217-01",3
"TCGA-L4-A4E6-01",2
"TCGA-44-A479-01",4
"TCGA-55-6982-01",3
"TCGA-55-8089-01",2
"TCGA-55-7284-01",4
"TCGA-55-1596-01",4
"TCGA-78-7156-01",2
"TCGA-64-1678-01",4
"TCGA-86-8073-01",3
"TCGA-55-8092-01",4
"TCGA-49-6767-01",2
"TCGA-05-4249-01",3
"TCGA-S2-AA1A-01",3
"TCGA-55-8096-01",1
"TCGA-97-7937-01",1
"TCGA-67-3770-01",3
"TCGA-91-8499-01",2
"TCGA-49-4510-01",3
"TCGA-91-6829-01",1
"TCGA-55-7724-01",2
"TCGA-86-7714-01",1
"TCGA-67-3773-01",2
"TCGA-86-A4JF-01",1
"TCGA-75-5146-01",3
"TCGA-49-AAR3-01",1
"TCGA-MP-A4TC-01",1
"TCGA-55-1592-01",1
"TCGA-99-7458-01",3
"TCGA-44-2668-01",1
"TCGA-55-7227-01",1
"TCGA-75-6206-01",4
"TCGA-55-8206-01",3
"TCGA-55-6981-01",1
"TCGA-35-3615-01",3
"TCGA-L9-A5IP-01",4
"TCGA-97-7938-01",3
"TCGA-MP-A4T9-01",1
"TCGA-53-A4EZ-01",4
"TCGA-55-6987-01",4
"TCGA-97-7546-01",3
"TCGA-91-6835-01",3
"TCGA-93-A4JO-01",3
"TCGA-50-5946-01",1
"TCGA-75-6214-01",1
"TCGA-75-6205-01",2
"TCGA-44-3917-01",3
"TCGA-78-7633-01",2
"TCGA-55-6983-01",3
"TCGA-86-A4P7-01",3
"TCGA-MP-A4SV-01",3
"TCGA-91-8496-01",2
"TCGA-97-A4M6-01",3
"TCGA-55-6984-01",4
"TCGA-86-8056-01",3
"TCGA-97-7554-01",1
"TCGA-44-6776-01",2
"TCGA-62-A46R-01",3
"TCGA-62-A46V-01",1
"TCGA-38-7271-01",1
"TCGA-49-AARE-01",3
"TCGA-67-6215-01",2
"TCGA-55-8085-01",4
"TCGA-78-7539-01",1
"TCGA-73-4668-01",1
"TCGA-44-2659-01",1
"TCGA-91-6828-01",1
"TCGA-78-7150-01",4
"TCGA-55-A4DG-01",1
"TCGA-J2-A4AE-01",3
"TCGA-05-5420-01",4
"TCGA-99-8025-01",3
"TCGA-MP-A5C7-01",4
"TCGA-97-8177-01",3
"TCGA-83-5908-01",3
"TCGA-69-7764-01",2
"TCGA-50-5941-01",1
"TCGA-86-8358-01",2
"TCGA-78-7537-01",2
"TCGA-97-7552-01",3
"TCGA-05-4433-01",4
"TCGA-55-8299-01",2
"TCGA-49-6742-01",4
"TCGA-55-7281-01",3
"TCGA-73-4677-01",3
"TCGA-62-8395-01",1
"TCGA-MP-A4TE-01",4
"TCGA-97-8547-01",1
"TCGA-55-A48Z-01",1
"TCGA-50-6593-01",3
"TCGA-55-7574-01",1
"TCGA-55-6712-01",2
"TCGA-93-7347-01",3
"TCGA-91-A4BC-01",4
"TCGA-55-8301-01",2
"TCGA-95-8494-01",1
"TCGA-MP-A4TK-01",1
"TCGA-97-8172-01",3
"TCGA-86-8674-01",2
"TCGA-86-8671-01",1
"TCGA-44-A4SU-01",3
"TCGA-05-4424-01",1
"TCGA-55-7815-01",2
"TCGA-50-6592-01",4
"TCGA-69-7973-01",1
"TCGA-95-7043-01",2
"TCGA-49-4488-01",3
"TCGA-44-2662-01",1
"TCGA-62-8399-01",4
"TCGA-50-5933-01",2
"TCGA-49-AARO-01",3
"TCGA-MP-A4T8-01",1
"TCGA-50-5936-01",4
"TCGA-86-7701-01",4
"TCGA-91-6840-01",2
"TCGA-86-8280-01",3
"TCGA-86-7711-01",2
"TCGA-05-4398-01",1
"TCGA-91-7771-01",4
"TCGA-69-7765-01",1
"TCGA-MP-A4SW-01",3
"TCGA-05-5428-01",2
"TCGA-50-5935-01",1
"TCGA-62-8402-01",2
"TCGA-73-4662-01",3
"TCGA-75-6211-01",4
"TCGA-55-8514-01",1
"TCGA-69-8253-01",3
"TCGA-97-A4M1-01",3
"TCGA-55-8505-01",4
"TCGA-50-6590-01",2
"TCGA-75-6207-01",1
"TCGA-53-7626-01",3
"TCGA-44-7672-01",3
"TCGA-75-5122-01",2
"TCGA-05-4402-01",3
"TCGA-69-7763-01",3
"TCGA-05-4426-01",3
"TCGA-78-8660-01",2
"TCGA-NJ-A4YP-01",4
"TCGA-44-7662-01",1
"TCGA-73-7499-01",3
"TCGA-55-8508-01",1
"TCGA-78-7160-01",4
"TCGA-MP-A4T6-01",1
"TCGA-64-1680-01",3
"TCGA-05-4384-01",4
"TCGA-55-A491-01",1
"TCGA-55-6979-01",1
"TCGA-55-6971-01",1
"TCGA-MP-A4T4-01",3
"TCGA-86-6851-01",1
"TCGA-49-4487-01",2
