glpT	glpR	glpX	glpF	glpK	glpD	glpQ	glpC	glpB	glpA	flhD	flhE	flhC	flgC	fliS	ygdB	fliH	fliL	flgB	ycgR	fliG	flgN	gltI	fliI	fliO	fliF	gltL	flgG	fliR	flgD	hdfR	flhB	ppdC	fliK	ppdA	fliM	fliJ	recC	flgA	flgJ	flgI	fliN	gltJ	flhA	ppdB	fliQ	fliT	flgH	ygbK	fliP	flgM	gltK	flgE	fliD	yhjH	flgF	fliE	qseB	yecR	lrhA	hydN	mdh	fliY	hypF	fliZ	fliA	mglB	ccmD	ccmA	ccmC	mglA	ccmH	ccmB	modE	ccmE	narP	ccmG	ccmF	napC	napA	napF	napD	napH	narL	napB	napG	iscR	nrfG	nrfE	nrfB	nrfF	nrfA	nrfD	nrfC	hyaA	hyaE	hyaC	hyaF	appY	hyaB	hyaD	ydhT	fdnH	ydhV	fdnG	fdnI	ydhY	ydhU	ydhW	ydhX	hcr	yeaR	nsrR	ytfE	hcp	yoaG	fdhF	hycC	hycH	fhlA	hycA	hycE	hycD	hycG	hycB	hycI	hycF	hypA	hypD	hypC	hypE	hypB	fnr	dmsC	norV	dmsB	dmsA	norW	norR	dcuS	pheM	rplT	ynfE	ynfG	ygbA	ynfH	narX	ynfF	dmsD	nikE	nikR	nikC	nikA	nikD	nikB	moeB	frdD	moaE	cydD	dcuA	frdC	dcuR	frdA	frdB	dcuB	fumB	moaA	moaD	cueR	moaB	moaC	aspA	moeA	cydC	hyfB	hyfI	hyfC	hyfR	hyfH	hyfG	hyfF	focB	hyfE	hyfD	hyfJ	hyfA	hmp	nirC	nirB	nirD	cysG	aceE	narK	ubiC	adhE	ubiA	aceF	wzxE	rpsI	yeaE
0.5835710	0.6330182	0.0426971	0.2166383	0.2897293	0.0020742	0.0516244	0.4031566	0.2144641	0.1209291	0.5789102	0.3904459	0.0000508	0.3012323	0.3896967	0.1177944	0.6616874	0.0000004	0.0609570	0.3546280	0.3055728	0.6707278	0.0000132	0.0378505	0.2616424	0.1742048	0.0000013	0.0000539	0.0280145	0.4112446	0.4844286	0.2795261	0.4943316	0.0008677	0.3923767	0.0001301	0.0014667	0.5767689	0.4590910	0.6093274	0.3151541	0.2498628	0.6350670	0.4345838	0.0105487	0.3196839	0.0000121	0.1828706	0.4713231	0.5848606	0.2174796	0.1899693	0.4071554	0.1298528	0.5655926	0.6303075	0.0000036	0.6719022	0.1873068	0.3291056	0.4344668	0.3406893	0.1340560	0.2631234	0.3165116	0.1416261	0.6449548	0.3407059	0.4757630	0.7989858	0.4377952	0.2197826	0.3927570	0.4548816	0.3715720	0.6500656	0.4852347	0.2279151	0.3633806	0.3198981	0.4935198	0.4081046	0.6955298	0.7088132	0.1572177	0.1663442	0.5951360	0.4636631	0.6025075	0.4625753	0.4487919	0.1481765	0.2263880	0.3506369	0.1046195	0.1903571	0.1676973	0.3947276	0.7481143	0.1186930	0.0004184	0.0965301	0.0285643	0.5124075	0.4577931	0.7312366	0.0981683	0.3023563	0.4146884	0.1439531	0.7003083	0.6464693	0.5490397	0.5531091	0.1058819	0.3780540	0.3763908	0.6032966	0.0634500	0.3266598	0.0065713	0.4808122	0.2722369	0.4436268	0.1809125	0.0062931	0.6708231	0.1529845	0.0707801	0.3679124	0.2445159	0.1845317	0.4797338	0.0165489	0.6660993	0.6846208	0.2681938	0.2726577	0.3047920	0.3365252	0.1683805	0.0897732	0.0270958	0.1248771	0.1367337	0.1696952	0.0171738	0.2771048	0.0004500	0.4453948	0.2980051	0.0711551	0.5925674	0.6168886	0.6777541	0.1287473	0.3908488	0.2267224	0.2180388	0.0471265	0.1252583	0.0485114	0.1920801	0.0850760	0.0901338	0.1019910	0.2670488	0.1453815	0.6053311	0.5531825	0.0081351	0.3374600	0.4362056	0.4128707	0.2284919	0.1889874	0.0546107	0.1922899	0.1448872	0.1959875	0.1333829	0.2372276	0.0613909	0.1074224	0.0095710	0.0719493	0.1451356	0.4385767	0.6473850	0.6584735	0.6328462	0.3373722	0.0737096	0.1076552	0.2902578	0.1817620	0.3169530	0.0056196	0.0975684	0.3542562
0.2142524	0.6193182	0.1535319	0.1753494	0.3038834	0.0083157	0.6006544	0.6705069	0.4577276	0.2599877	0.6896508	0.6268955	0.4370787	0.6062370	0.7367984	0.2091877	0.5087196	0.6109545	0.4929421	0.3709994	0.6209271	0.4204279	0.1538976	0.8275971	0.4949770	0.6231611	0.5256819	0.1592364	0.1874182	0.6141395	0.6995948	0.4243743	0.4306716	0.3456236	0.5144411	0.0861096	0.6578675	0.4522440	0.3590948	0.7061850	0.4535906	0.3958791	0.5886091	0.5517164	0.6760327	0.6286263	0.0641597	0.4055438	0.4189238	0.5902189	0.5555474	0.3588584	0.6223750	0.6137592	0.4980748	0.4531235	0.6714787	0.6196683	0.4747274	0.7896651	0.3878843	0.2465840	0.3780298	0.5452516	0.7908997	0.2406056	0.0911775	0.5311084	0.5276893	0.8598615	0.2959869	0.1039883	0.6857798	0.7707798	0.4814856	0.7278483	0.6555702	0.7674745	0.4415668	0.4866250	0.4569635	0.4637282	0.7487915	0.4395331	0.5640662	0.3851612	0.5859190	0.5774336	0.7192849	0.5568355	0.6201126	0.4080617	0.5940135	0.5761078	0.2513200	0.0830688	0.2930914	0.4183798	0.7810137	0.5158978	0.3173119	0.0000224	0.0019606	0.6457493	0.1870365	0.3976715	0.7049546	0.2476644	0.2570428	0.0839609	0.7244983	0.4442255	0.5923476	0.4494185	0.5194988	0.6805618	0.4206776	0.5013320	0.0765383	0.4179227	0.0157796	0.4457150	0.5886106	0.3016750	0.1408386	0.0005128	0.6188451	0.3455854	0.3528332	0.4549839	0.2138495	0.2926779	0.7424621	0.0227774	0.4158111	0.6359035	0.3934477	0.1796116	0.1171437	0.2533818	0.0480697	0.0989133	0.1184612	0.6898216	0.0025723	0.2463056	0.0023206	0.3004441	0.2512302	0.5643389	0.4232781	0.1277949	0.2926793	0.7380697	0.1981653	0.0253398	0.1627205	0.3269479	0.3027464	0.4002349	0.3942998	0.0694090	0.0613597	0.1163796	0.1413761	0.5196361	0.1823436	0.0000319	0.7067797	0.7589732	0.0092140	0.7028821	0.1874540	0.5287084	0.3133310	0.0000608	0.0628571	0.0138686	0.0869477	0.1095545	0.0656327	0.1039048	0.0000214	0.2533240	0.3457838	0.0546840	0.0058618	0.6816017	0.6979324	0.7257631	0.4072935	0.2069926	0.2765641	0.1151697	0.7287052	0.1268400	0.6338530	0.0419732	0.0523273	0.3089111
0.3801752	0.6597894	0.1541255	0.1804949	0.3664922	0.0186596	0.2431768	0.5954944	0.4562649	0.5034655	0.6110334	0.4846721	0.2440106	0.8334463	0.6727832	0.2498424	0.5824387	0.5659339	0.4588248	0.4509246	0.6841763	0.6676204	0.2995916	0.7589539	0.4690252	0.6884768	0.5072732	0.0391176	0.0509061	0.6029794	0.3848404	0.2312597	0.4336981	0.4496326	0.7492428	0.1055791	0.7767363	0.4473356	0.6248171	0.8267840	0.3428014	0.4081036	0.7099174	0.5184955	0.6161050	0.4149904	0.1180759	0.3322788	0.5652331	0.3368521	0.2423692	0.4305965	0.4618560	0.7807383	0.5255849	0.4775015	0.6054555	0.7537379	0.2598655	0.4995886	0.3473500	0.3397478	0.4659240	0.4831169	0.5194649	0.1799373	0.1291582	0.6399642	0.6986665	0.6507744	0.4171466	0.0030397	0.3642049	0.8204864	0.5105787	0.6601240	0.4652109	0.7182480	0.6977237	0.6163721	0.4863928	0.5491086	0.6261827	0.3355302	0.4017547	0.0987432	0.7259452	0.7115386	0.6503456	0.4015776	0.3315278	0.4717953	0.4841786	0.5872427	0.2399592	0.0263977	0.0241914	0.3228054	0.5171886	0.3444559	0.2149563	0.0215976	0.1110709	0.4386070	0.1591970	0.5493363	0.6728309	0.3430655	0.4502965	0.1923217	0.7059155	0.7718544	0.5839697	0.2440450	0.1877115	0.3895459	0.4351232	0.2207080	0.1718572	0.3686471	0.4326973	0.4179653	0.2564772	0.2564844	0.2000400	0.1780936	0.4157002	0.1292720	0.5032451	0.6574960	0.4444436	0.1119670	0.5921072	0.2126865	0.5925814	0.7318827	0.3065757	0.1902436	0.1008317	0.0270980	0.0934320	0.1132705	0.2888118	0.6813027	0.0477590	0.1937586	0.0005027	0.2433406	0.3419212	0.3782144	0.5905796	0.4392588	0.4724212	0.6036514	0.0605042	0.1585442	0.2368774	0.6220957	0.0084850	0.3604903	0.4191004	0.1800312	0.1511045	0.2206646	0.2959761	0.6507257	0.0934543	0.1666874	0.4738648	0.6336920	0.1375049	0.2672512	0.0077032	0.5703941	0.1159625	0.0870279	0.0008066	0.0610017	0.0822332	0.0007641	0.1439333	0.0415856	0.0067901	0.0010424	0.0054604	0.0037440	0.0359568	0.6821127	0.6099945	0.5475103	0.4336774	0.2838961	0.2242832	0.2557650	0.6147460	0.1661386	0.6269764	0.0282324	0.0666016	0.3174044
0.4301763	0.6981458	0.0866940	0.1736451	0.1937623	0.0306242	0.2728770	0.8621427	0.4824014	0.5065227	0.4914746	0.5849950	0.3669680	0.5019706	0.6463511	0.4725174	0.6614395	0.3699596	0.3213612	0.3516075	0.5829710	0.4330680	0.0999280	0.5411647	0.3738066	0.5980620	0.6655886	0.1466028	0.3128072	0.5689761	0.4800192	0.2906704	0.6334607	0.3932669	0.2976479	0.1325875	0.6548323	0.5576642	0.4632267	0.7387911	0.2770124	0.5093415	0.5251611	0.4020164	0.4532224	0.6352409	0.1433211	0.5028812	0.5518295	0.5616112	0.4821255	0.3201732	0.5211821	0.7118805	0.4503751	0.5843175	0.7721840	0.7580497	0.2868220	0.7103511	0.5654966	0.2050498	0.2318415	0.5104527	0.3488926	0.0964683	0.1089330	0.4788298	0.4650984	0.6793282	0.3676895	0.0272142	0.4895431	0.7446024	0.4336719	0.7568879	0.6365817	0.6227112	0.3493305	0.5981758	0.4085816	0.5410272	0.5693441	0.5430339	0.6110126	0.0517999	0.6588779	0.6564525	0.7245788	0.6316977	0.4430802	0.4402685	0.2473395	0.6526907	0.2760759	0.1467362	0.0760375	0.2855314	0.6546608	0.5296639	0.0001553	0.0076827	0.0967855	0.5729063	0.2894482	0.6370036	0.4926164	0.5691728	0.3582715	0.1229122	0.7044867	0.5208461	0.6858861	0.2352543	0.1373656	0.5548295	0.4603639	0.6732313	0.1397337	0.6668584	0.0382283	0.3762829	0.4649989	0.6125450	0.2704741	0.0031194	0.5984724	0.5941128	0.3089746	0.5254884	0.6403169	0.5452271	0.8142757	0.0259860	0.5615841	0.7556731	0.3273320	0.2333075	0.2923168	0.0197510	0.0486322	0.0789628	0.2568922	0.4410265	0.0506527	0.0059628	0.0028049	0.2469536	0.0606782	0.6725881	0.4670845	0.1768155	0.2240828	0.5708129	0.2573872	0.0148872	0.4627098	0.7947440	0.2599280	0.2786646	0.6575261	0.1838248	0.4775193	0.2066285	0.0930806	0.6445966	0.0107332	0.0022970	0.9060403	0.5394857	0.4640053	0.8531304	0.0699377	0.3898768	0.1694082	0.1391572	0.2412457	0.2349492	0.5716058	0.1544983	0.4535095	0.4407429	0.0235902	0.4524905	0.0373376	0.4723712	0.0089565	0.6717290	0.7965738	0.7073186	0.5064743	0.3229301	0.3180814	0.0726249	0.1804421	0.1271156	0.6262099	0.0313610	0.0137176	0.1531158
0.5899260	0.7404376	0.0919414	0.2251870	0.2861881	0.0007061	0.2108860	0.7353027	0.2351671	0.3530624	0.8021924	0.5874173	0.4718781	0.5864200	0.6084622	0.1526022	0.6643147	0.5190666	0.6877348	0.4363930	0.6860639	0.4925647	0.0941190	0.7000491	0.6222108	0.7062137	0.7114674	0.1578215	0.3574031	0.8082861	0.7694469	0.3907926	0.4833095	0.2843274	0.4077505	0.0821539	0.7573662	0.5978362	0.5983117	0.7379345	0.5173452	0.5416470	0.4666705	0.4719349	0.4959146	0.4591880	0.0593455	0.3967765	0.5709782	0.5383236	0.4799866	0.2831353	0.5279324	0.6703476	0.5823279	0.4936047	0.6839439	0.4210899	0.5515273	0.6878608	0.4140610	0.2783216	0.2735739	0.5397386	0.4643795	0.1833343	0.0383899	0.5658001	0.6744689	0.6824396	0.2874303	0.0236904	0.5957927	0.6818219	0.5489589	0.4983333	0.4356943	0.6867835	0.6581954	0.5746056	0.6908655	0.6206172	0.7020045	0.2786017	0.4913811	0.0490546	0.5883858	0.6350839	0.5628417	0.5437477	0.3619048	0.7009695	0.4579242	0.6483926	0.3459553	0.0356514	0.1502630	0.4256092	0.8145897	0.2589077	0.3129689	0.0181926	0.0451888	0.1356850	0.1737722	0.6051245	0.5725958	0.6676623	0.1214503	0.5411396	0.6606634	0.5720960	0.5811949	0.3693728	0.2951005	0.2920179	0.5763700	0.1206173	0.2527174	0.4207866	0.1849812	0.5507682	0.4975277	0.4602728	0.3629834	0.1001127	0.6991665	0.2417915	0.3556418	0.3387625	0.3302427	0.1378622	0.6947881	0.0796765	0.3623299	0.6356893	0.2734191	0.2725099	0.3153356	0.0604385	0.0992720	0.0052953	0.1744885	0.5078334	0.0855309	0.0309975	0.1516601	0.3154774	0.0061014	0.2498360	0.3511559	0.0229880	0.3722697	0.6613664	0.2938404	0.0084773	0.5164147	0.6770303	0.0108875	0.3823603	0.0908077	0.0275688	0.0904724	0.4094870	0.2787798	0.3721117	0.0000984	0.0000418	0.7332039	0.6369350	0.0712886	0.6455400	0.3428376	0.5238757	0.0617935	0.0407749	0.1851281	0.0251892	0.1675018	0.0888055	0.0400925	0.2796653	0.2144735	0.0188747	0.0175649	0.0000180	0.0343668	0.5516693	0.7411043	0.8112470	0.4137598	0.3734639	0.1952134	0.2654752	0.5067672	0.1375865	0.5661771	0.0151624	0.0448199	0.2585428
0.3001071	0.6975645	0.0340615	0.1887807	0.1720758	0.0027332	0.0005397	0.4119517	0.0772802	0.0263834	0.7379055	0.4479930	0.2672263	0.4288158	0.7824828	0.0100446	0.5049804	0.5159332	0.3152016	0.3372247	0.4081387	0.3481668	0.0359367	0.7124377	0.4270024	0.6256629	0.3992873	0.0626174	0.1153180	0.5056906	0.8137606	0.2406687	0.5099663	0.1635909	0.4791985	0.0194576	0.7056967	0.6570834	0.3305716	0.7256101	0.2605464	0.4118966	0.5667292	0.4020039	0.2653423	0.2782140	0.0140707	0.3532628	0.6531517	0.2242561	0.1090396	0.2487137	0.6529862	0.6357048	0.6026978	0.4737596	0.6649034	0.7009975	0.0590242	0.2704338	0.3499371	0.3581434	0.3743922	0.2053051	0.5846007	0.4346482	0.1562156	0.0845008	0.4758358	0.6853813	0.4243096	0.0059918	0.3938835	0.6104584	0.5959119	0.6267256	0.5047327	0.5986183	0.5012827	0.2949928	0.6510881	0.5046407	0.1985657	0.6303608	0.3813005	0.4234176	0.6428603	0.4940982	0.4386107	0.4247250	0.2986737	0.1516850	0.6415577	0.4387334	0.2205175	0.0505283	0.0471619	0.3480876	0.7026616	0.1994814	0.1034300	0.0022020	0.3521543	0.1833409	0.4356643	0.6469555	0.1098892	0.0481761	0.0859952	0.1007599	0.7125628	0.5177873	0.6214697	0.4945823	0.2562582	0.6897384	0.3277887	0.0944365	0.4100315	0.2523802	0.0024515	0.5195527	0.2518980	0.3991421	0.3518036	0.0033702	0.6944724	0.2359007	0.1351416	0.3564815	0.2727073	0.2323407	0.1439042	0.0021094	0.6115002	0.4545500	0.3160319	0.4367697	0.2833844	0.0047301	0.5712026	0.4500622	0.2903412	0.1062115	0.2032280	0.1002919	0.5112445	0.0251512	0.0000697	0.4159841	0.2561399	0.1073564	0.0943772	0.6548955	0.3730347	0.4175696	0.1140742	0.4364892	0.1679140	0.0108454	0.0003039	0.0273623	0.0099746	0.2032059	0.2476238	0.1995161	0.0005967	0.0002058	0.5813755	0.6648887	0.0430370	0.0571342	0.7076410	0.5856130	0.4525346	0.5877812	0.0716548	0.6437568	0.1530175	0.0418332	0.2073667	0.4581853	0.6921723	0.4644531	0.4670380	0.2951955	0.4128006	0.4684062	0.5590715	0.4255980	0.2110597	0.3841671	0.2684585	0.2589415	0.0198555	0.7339275	0.1664538	0.0361449	0.6311384	0.3860091
0.6038015	0.8362056	0.0735951	0.2063792	0.4472297	0.0093626	0.1008852	0.5091723	0.2204529	0.3398844	0.6321765	0.5028097	0.0808247	0.5323603	0.5492872	0.0021124	0.5332780	0.0161348	0.3732357	0.2610796	0.4719451	0.4361935	0.0989805	0.6608757	0.3231951	0.6304007	0.0063061	0.3035099	0.0011977	0.3370477	0.6098128	0.3682149	0.3644470	0.1402626	0.3860180	0.0506421	0.4953120	0.4481127	0.4317690	0.7264193	0.2422740	0.2569829	0.4409369	0.4265906	0.1631087	0.3417532	0.0002581	0.3965957	0.5576622	0.2317031	0.0006565	0.6838108	0.4154352	0.0560288	0.6424187	0.3547940	0.2998638	0.4963051	0.5736033	0.8197667	0.4061454	0.3784961	0.0619423	0.3080699	0.2620307	0.0605790	0.5418014	0.5371851	0.3459414	0.6953332	0.4992013	0.0366225	0.6347950	0.7768276	0.4000164	0.7155009	0.6608613	0.5364304	0.3618535	0.6630860	0.4432193	0.5397242	0.4453699	0.5415636	0.2347600	0.1884835	0.6979048	0.6730586	0.6834720	0.6303426	0.5707734	0.3269691	0.4422772	0.5686991	0.2206161	0.0301347	0.2447475	0.2639863	0.4606574	0.1818200	0.0143796	0.0734917	0.0097872	0.1791953	0.3899257	0.6732520	0.5536373	0.1965632	0.4255931	0.2385228	0.6637419	0.8700254	0.6746310	0.4604640	0.0869618	0.2793388	0.3791617	0.6160849	0.1212789	0.5900395	0.0804028	0.4623845	0.6444641	0.3961713	0.1463383	0.0026969	0.5422317	0.5101632	0.3026423	0.6563022	0.6189203	0.0854716	0.6860823	0.0062152	0.4331034	0.7775606	0.1278601	0.2245836	0.1920670	0.0217075	0.0656105	0.0179606	0.1130038	0.5190855	0.0389869	0.0067685	0.1195956	0.5359166	0.0013953	0.3608268	0.3123650	0.1828546	0.4234042	0.5317688	0.6277358	0.0316727	0.0873325	0.6746736	0.3319694	0.2059558	0.1597003	0.0464110	0.2779178	0.3028494	0.1367919	0.6108668	0.0014938	0.1506690	0.4694021	0.7105034	0.1364948	0.4522949	0.0122472	0.6415376	0.2187591	0.1263168	0.2985090	0.2705806	0.0639880	0.0089176	0.4581605	0.3445048	0.1602467	0.4667630	0.0035142	0.0467902	0.0785280	0.6354023	0.6993994	0.7519950	0.5121854	0.2165605	0.2588223	0.1285460	0.6921702	0.1214294	0.3514356	0.0238195	0.0263084	0.2604522
0.4539372	0.7708342	0.0674193	0.1355879	0.3554270	0.0018220	0.3882759	0.6285163	0.3874338	0.3029180	0.2117534	0.3960894	0.1907201	0.1785427	0.5066570	0.4115094	0.1889444	0.2458190	0.0021813	0.2201970	0.2222674	0.0712292	0.0787226	0.6475705	0.0764243	0.4409354	0.0592149	0.0009736	0.0643957	0.4911866	0.5342590	0.2027972	0.2909388	0.0363295	0.2292156	0.1332332	0.4333844	0.4090048	0.1231005	0.5651723	0.0244084	0.2809702	0.3563640	0.0551496	0.2715161	0.1662149	0.1823820	0.1536524	0.1886568	0.0486047	0.1314169	0.0210852	0.1915300	0.2336087	0.2100424	0.0711581	0.4950405	0.5480628	0.2732153	0.5129570	0.0750876	0.5495236	0.0128172	0.0697513	0.2062410	0.3671972	0.5867454	0.4963916	0.3265409	0.4415765	0.6593157	0.2015482	0.6881891	0.6717272	0.2719652	0.4840209	0.4175513	0.6354364	0.2469482	0.6147269	0.6918991	0.4162855	0.6297385	0.4817588	0.1385945	0.0326909	0.7470934	0.6540269	0.5124323	0.4077034	0.1815666	0.1182706	0.1956328	0.4779322	0.3584520	0.1500447	0.1772444	0.5504195	0.5810215	0.2792147	0.1407809	0.0065222	0.1223367	0.7319802	0.3430473	0.6375233	0.3508300	0.6199791	0.7528982	0.4103773	0.5711273	0.6735513	0.5311213	0.4430528	0.2731926	0.4895339	0.3565764	0.5016995	0.0724414	0.2675797	0.1800948	0.4022469	0.2068665	0.4113438	0.4412226	0.0809786	0.6325269	0.2671002	0.2599263	0.7298380	0.1620682	0.2144344	0.5406721	0.0078077	0.6326269	0.5517423	0.2822649	0.3437957	0.2509171	0.0754994	0.0338808	0.0001711	0.0915145	0.3514726	0.1672327	0.0011514	0.1682391	0.0717012	0.0287689	0.5108635	0.3100528	0.2373041	0.5324852	0.7255694	0.2135712	0.2426959	0.1520971	0.2514484	0.2129018	0.1683630	0.3120782	0.2123202	0.2403240	0.0378007	0.0403833	0.6682548	0.0155199	0.0351107	0.5047212	0.5564822	0.3030727	0.5109968	0.0481869	0.4726063	0.1920615	0.4277576	0.0399589	0.0830173	0.0266587	0.0560626	0.3881753	0.2768744	0.0006276	0.2850426	0.0035521	0.0018863	0.0101675	0.4173875	0.7251217	0.7052995	0.4651638	0.2215771	0.2623463	0.0373466	0.3674909	0.1510831	0.5290271	0.0316450	0.0535836	0.2045050
0.1335065	0.6239074	0.2336351	0.2796628	0.4438716	0.0082735	0.4684104	0.6274016	0.3452778	0.3632552	0.6474067	0.7014392	0.4762467	0.6158628	0.6836850	0.1818788	0.6802323	0.6179969	0.6376435	0.5377088	0.6471518	0.6134533	0.1227714	0.6952593	0.7860423	0.6512452	0.7491933	0.5764808	0.4107721	0.8022362	0.4918634	0.7168342	0.5492173	0.6015575	0.4416195	0.1988480	0.5937476	0.4646799	0.4439498	0.6652455	0.5039379	0.6642304	0.7133495	0.5136375	0.5193149	0.6459488	0.3193305	0.5100587	0.5208658	0.5271970	0.5565025	0.3542821	0.4619342	0.6164271	0.5045744	0.5292243	0.6030808	0.6640403	0.2919326	0.4661116	0.6445582	0.0742179	0.2197070	0.4308169	0.5532796	0.2279950	0.0406968	0.6401964	0.6616916	0.7308101	0.1695453	0.0682249	0.4766703	0.7720786	0.6303253	0.7016014	0.5998917	0.7962881	0.6528924	0.4014405	0.6209236	0.5140229	0.6535877	0.7659240	0.6482968	0.3588225	0.6499488	0.9390889	0.5443715	0.5649456	0.4096638	0.3908160	0.4031791	0.5466369	0.2530837	0.0254752	0.0799635	0.3917339	0.7473461	0.3805709	0.2146555	0.0014399	0.0074667	0.5889175	0.2975061	0.7399900	0.5280292	0.4822105	0.5780808	0.3819524	0.6663940	0.6679509	0.6746204	0.6083879	0.4012701	0.1920560	0.3730095	0.3029255	0.0359309	0.1257592	0.0387401	0.3722508	0.4183047	0.2091090	0.2083405	0.0154551	0.6337665	0.1598362	0.2196460	0.5470833	0.5749598	0.0717270	0.5867511	0.0144570	0.5116609	0.7009708	0.3288449	0.3310803	0.2050018	0.0200140	0.0307258	0.0691692	0.0590313	0.3798361	0.0487232	0.2958519	0.0036748	0.2180784	0.2582497	0.1737422	0.4370044	0.1875303	0.5304548	0.6731004	0.4847199	0.0141909	0.6666412	0.5731258	0.2769371	0.2774130	0.3221811	0.2366527	0.1381113	0.2360815	0.1318169	0.5596176	0.1468667	0.0015051	0.7120692	0.6771350	0.2159258	0.3111874	0.2517896	0.6459316	0.0542970	0.0037746	0.2860840	0.0561870	0.1428467	0.1529951	0.0557841	0.0399393	0.0023804	0.0027178	0.3310058	0.0003874	0.0244252	0.4922918	0.6699139	0.6129954	0.4874733	0.3729318	0.2727681	0.0486438	0.5995461	0.1040113	0.8107045	0.0185737	0.0395317	0.2578053
0.3993027	0.7195797	0.0639677	0.0927500	0.2528933	0.0051461	0.3622361	0.6284252	0.3310582	0.3306304	0.7130739	0.4150695	0.0103903	0.3298967	0.5211099	0.0335236	0.7147045	0.0009243	0.0000237	0.4898600	0.3774952	0.2816635	0.0327488	0.6464302	0.3453341	0.4656109	0.0008706	0.0000347	0.0000910	0.4391923	0.5455037	0.3407522	0.5008432	0.0182034	0.4187362	0.3057309	0.1863754	0.6377212	0.4814936	0.4146200	0.2527421	0.4015808	0.6465470	0.4441628	0.0610769	0.3364889	0.0009358	0.3584724	0.5327879	0.3743772	0.0221981	0.2868616	0.4482849	0.0027918	0.3932823	0.3070919	0.0071530	0.8358019	0.2997675	0.4987366	0.2933279	0.5311540	0.3696900	0.1710302	0.3703591	0.0138700	0.7193603	0.5189573	0.5568294	0.6480951	0.4434745	0.0084204	0.2727819	0.6478318	0.5835956	0.6075710	0.7358341	0.2255181	0.3834156	0.5894008	0.7350991	0.6958073	0.4906487	0.3804091	0.5600698	0.0658793	0.6756513	0.7186423	0.5996483	0.6245340	0.5165731	0.1824325	0.5377799	0.3014847	0.2754789	0.0786409	0.2569789	0.3078656	0.6808089	0.4791801	0.0522532	0.0548222	0.0115211	0.7327094	0.2004807	0.5977950	0.4442485	0.6090883	0.4538635	0.4394561	0.5997068	0.6907959	0.7171704	0.4384056	0.3709494	0.3803304	0.4708764	0.1595888	0.0644769	0.3167703	0.0054546	0.3817182	0.3509223	0.2949019	0.3712841	0.4760143	0.4689205	0.2093991	0.2019310	0.5692384	0.3527971	0.2214973	0.7559698	0.0345131	0.5567768	0.3552846	0.1396774	0.2184176	0.2056709	0.0315276	0.0473106	0.0002066	0.1542327	0.5487161	0.0403587	0.2556497	0.0040106	0.1057926	0.0031941	0.4504836	0.4954258	0.0417076	0.2854496	0.7577659	0.0003555	0.0116456	0.2820582	0.6723106	0.0135873	0.3563917	0.4992443	0.2599003	0.4723826	0.4070359	0.2430128	0.3155692	0.0042587	0.0000336	0.7868024	0.5385164	0.0067960	0.5009119	0.1688930	0.4044069	0.1833989	0.0976863	0.4321464	0.0213790	0.1346561	0.2039778	0.0010803	0.0412835	0.0056836	0.0049719	0.0005430	0.1332578	0.0149568	0.5035538	0.6609424	0.8021134	0.4495382	0.2873180	0.3674951	0.2253861	0.5461842	0.1580450	0.6707636	0.0070659	0.0561400	0.2212621
